filename,page_number,sentence,aspect,aspect_category,ontology_uri,sentiment,tone,confidence
sustainability-report-2023.pdf,2,"The CSRD will elevate sustainability reporting to the same level as financial reporting, marking a significant milestone for KPMG Norway and the European business sector as a whole.",CSRD compliance,G,SDG17,positive,Action,0.93
sustainability-report-2023.pdf,2,we must also continue to look for areas of improvement within our own organization and practices.,internal governance practices,G,GRI3500,positive,Commitment,0.96
sustainability-report-2023.pdf,2,"we are fully committed to transparency regarding our impacts, our goals for change, and our plans for progress.",transparency and governance,G,GRI3500,positive,Commitment,0.95
sustainability-report-2023.pdf,2,Our greatest potential for positive change across all ESG categories comes from our work with clients.,client collaboration for ESG initiatives,E,SDG12,positive,Action,0.89
sustainability-report-2023.pdf,2,Our greatest potential for positive change across all ESG categories comes from our work with clients.,client collaboration for ESG initiatives,S,SDG10,positive,Action,0.89
sustainability-report-2023.pdf,2,Our greatest potential for positive change across all ESG categories comes from our work with clients.,client collaboration for ESG initiatives,G,SDG17,positive,Action,0.89
sustainability-report-2023.pdf,3,"This year we have chosen to move away from the WEF structure in favor of an Environmental, Social, and Governance (ESG) structure based on our preparations for becoming compliant with the EU's Corporate Sustainability Reporting Directive (CSRD), which KPMG will be covered by in 2026.",CSRD preparation,G,GRI305,positive,Commitment,0.9
sustainability-report-2023.pdf,3,"The adoption of the CSRD framework has initiated the journey to level sustainability reporting with financial reporting, thus increasing transparency and accountability of corporate sustainability performance.",transparency improvement,G,GRI305,positive,Outcome,0.9
sustainability-report-2023.pdf,3,"As we are ramping up to become CSRD-compliant, we are currently conducting a double materiality analysis that will be part of next year's report when we likewise are planning to conduct a thorough stakeholder analysis.",double materiality analysis,G,GRI205,neutral,Action,0.95
sustainability-report-2023.pdf,4,Environment,environmental initiatives,E,GRI303,neutral,Commitment,0.6
sustainability-report-2023.pdf,4,Social Inclusion,social inclusion,S,SDG10,neutral,Commitment,0.6
sustainability-report-2023.pdf,4,Diversity,diversity initiatives,S,SDG5,neutral,Commitment,0.6
sustainability-report-2023.pdf,4,Equity initiatives,equity,S,SDG5,neutral,Commitment,0.6
sustainability-report-2023.pdf,4,Governance,governance practices,G,GRI102,neutral,Commitment,0.7
sustainability-report-2023.pdf,5,"63% of us are ""millennials"".",diversity,S,GRI204,positive,Action,0.95
sustainability-report-2023.pdf,5,37 years is our average age.,workforce demographics,S,GRI204,positive,Action,0.95
sustainability-report-2023.pdf,5,40 Nationalities work here.,diversity,S,GRI204,positive,Action,0.95
sustainability-report-2023.pdf,5,"Social Inclusion, Diversity and Equity initiatives",diversity,S,GRI205,positive,Action,0.85
sustainability-report-2023.pdf,6,Together - We respect each other and draw strength from our differences.,diversity,S,GRI407,positive,Commitment,0.95
sustainability-report-2023.pdf,6,We respect labor rights and promote a responsible employment environment.,labor rights,S,GRI402,positive,Action,0.92
sustainability-report-2023.pdf,6,We combat corruption in all its forms and assess our bribery and corruption environment annually.,anti-corruption,G,GRI304,positive,Action,0.91
sustainability-report-2023.pdf,6,KPMG must dare to be proactive towards clients... promote sustainability in all our projects.,sustainability promotion,G,SDG17,positive,Action,0.89
sustainability-report-2023.pdf,6,We need to set targets to improve our own environmental impact and carbon footprint.,carbon footprint,E,GRI305,positive,Action,0.88
sustainability-report-2023.pdf,6,We shall establish interdisciplinary teams to identify and implement optimal and sustainable solutions.,interdisciplinary teams,G,SDG9,positive,Action,0.87
sustainability-report-2023.pdf,6,The Finance department is responsible for supply chain due diligence.,supply chain due diligence,E,GRI308,neutral,Commitment,0.85
sustainability-report-2023.pdf,6,The Quality Risk Management department manages ethics and compliance with local laws.,ethics and compliance,G,GRI301,neutral,Commitment,0.84
sustainability-report-2023.pdf,7,we're bound by strict environmental requirements,environmental requirements,E,GRI302,positive,Commitment,0.85
sustainability-report-2023.pdf,7,we are in a transition period towards CSRD and currently finalizing our double materiality assessment,double materiality assessment,G,GRI101,neutral,Action,0.95
sustainability-report-2023.pdf,7,we will be updating our sustainability plan during FY2025,sustainability plan updates,G,GRI303,neutral,Action,0.88
sustainability-report-2023.pdf,7,KPMG has been a certified Eco Lighthouse since 2011,environmental certification,E,GRI301,positive,Commitment,0.92
sustainability-report-2023.pdf,7,KPMG Norway is committed to developing its business in accordance with the Ten Principles for Corporate Sustainability,social responsibility guidelines,S,SDG8,positive,Commitment,0.97
sustainability-report-2023.pdf,7,KPMG has been registered with EcoVadis since 2019,sustainability assessment participation,E-S-G,GRI102,positive,Action,0.9
sustainability-report-2023.pdf,7,"EcoVadis provides a comprehensive assessment of... across four key areas: environment, labor and human rights, ethics, and sustainable procurement",sustainability assessment scope,E-S-G,GRI302-GRI403-GRI405-GRI308,positive,Action,0.88
sustainability-report-2023.pdf,7,We can identify areas where we can improve our sustainability practices,self-assessment outcomes,E-S-G,GRI102,positive,Action,0.94
sustainability-report-2023.pdf,7,The decision to register... was made in response to... demand for transparency and accountability,client-driven transparency needs,G,GRI101,positive,Outcome,0.89
sustainability-report-2023.pdf,7,we established an ESG steering committee in 2022... to ensure upskilling of employees,ESG organizational structure,G,GRI103,positive,Action,0.93
sustainability-report-2023.pdf,7,we use the principles to guide our sustainability work and business conduct,social and governance alignment,S-G,SDG8-GRI103,positive,Commitment,0.91
sustainability-report-2023.pdf,7,"KPMG Live... specifically addressed our efforts on Inclusion, Diversity and Equity (IDE)",employee inclusion initiatives,S,SDG5-GRI408,positive,Action,0.95
sustainability-report-2023.pdf,7,we will continue to build knowledge... about sustainability across the organization,employee education on sustainability,E-S-G,GRI102,positive,Action,0.87
sustainability-report-2023.pdf,7,climate action... being some key topics for FY2024,climate action focus,E,SDG13,positive,Action,0.96
sustainability-report-2023.pdf,7,companies have completed... sustainability academy,employee sustainability training,G,GRI308,positive,Outcome,0.92
sustainability-report-2023.pdf,8,KPMG has recently revised our materiality assessment which was previously only based on an impact perspective in line with the GRI standard. To lay the grounds for our coming CSRD reporting we have performed a double materiality assessment in accordance with the ESRS standards.,double materiality assessment,G,GRI303,positive,Action,0.85
